Device,DrwSubDrwPkt,MedID,MedDescription,BrandName,Min,Max,CurrentAmount,PickArea,PickAmount,Zone,DeliveryArea,RefillAmount
UTI 4 Piso,AUX Pu 5-Subdiv 11,29028x1,MIRTAZAPINA 30 mg comprimido recubiert,,3,5,4,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,AUX Pu 5-Subdiv 2,32582X1,DIPIRONA IM/IV 500 mg/1 ml (2 ml) ampolla,,60,100,80,01 FARMACIA CENTRAL,20,,"UTI 4, UTI-UCO-UTIM",20
UTI 4 Piso,AUX Pu 5-Subdiv 3,19555X1,meTOCLOPRAMIDA CLORHIDRATO ANHIDRO 5 mg/1 ml (2 ml) ampolla,,40,200,165,01 FARMACIA CENTRAL,35,,"UTI 4, UTI-UCO-UTIM",35
UTI 4 Piso,AUX Pu 5-Subdiv 4,26859X1,OMEPRAZOL 40 mg frasco ampolla,,20,30,18,01 FARMACIA CENTRAL,12,,"UTI 4, UTI-UCO-UTIM",12
UTI 4 Piso,AUX Pu 5-Subdiv 6,24498X1,DOPAMINA 200 mg (5 ml) ampolla,,10,30,28,01 FARMACIA CENTRAL,2,,"UTI 4, UTI-UCO-UTIM",2
UTI 4 Piso,AUX Pu 5-Subdiv 7,med215x1,COLISTINA METANOSULFONATO 100 mg frasco ampolla,,20,50,45,01 FARMACIA CENTRAL,5,,"UTI 4, UTI-UCO-UTIM",5
UTI 4 Piso,AUX Pu 5-Subdiv 8,15495X1,DOBUTamina 250 mg ampolla,,10,15,9,01 FARMACIA CENTRAL,6,,"UTI 4, UTI-UCO-UTIM",6
UTI 4 Piso,AUX Pu 5-Subdiv 9,5807x1,BISACODILO 5 mg comprimido,,30,50,37,01 FARMACIA CENTRAL,13,,"UTI 4, UTI-UCO-UTIM",13
UTI 4 Piso,AUX Pu 6-Subdiv 1,30000X1,SULFATO DE MAGNESIO 25 g/100 ml (5 ml) ampolla,,30,80,48,01 FARMACIA CENTRAL,32,,"UTI 4, UTI-UCO-UTIM",32
UTI 4 Piso,AUX Pu 6-Subdiv 11,18163X1,LIDOcaina 20 mg/1 ml (20 ml) frasco ampolla,,10,20,15,01 FARMACIA CENTRAL,5,,"UTI 4, UTI-UCO-UTIM",5
UTI 4 Piso,AUX Pu 6-Subdiv 12,53945x1,OMEPRAZOL 20 mg polvo para suspensió,,10,20,11,01 FARMACIA CENTRAL,9,,"UTI 4, UTI-UCO-UTIM",9
UTI 4 Piso,AUX Pu 6-Subdiv 14,41279x1,POLIETILENGLICOL (BAREX) 17 g suspensión oral,,4,10,9,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,AUX Pu 6-Subdiv 16,3336X1,ADRENalina (EPINEFrina) INY IM/ 1 mg/1 ml (1 ml) ampolla,,10,15,8,01 FARMACIA CENTRAL,7,,"UTI 4, UTI-UCO-UTIM",7
UTI 4 Piso,AUX Pu 6-Subdiv 17,26915X1,LEVOTIROXINA 88 mcg comprimido,,5,10,8,01 FARMACIA CENTRAL,2,,"UTI 4, UTI-UCO-UTIM",2
UTI 4 Piso,AUX Pu 6-Subdiv 2,22959X1,hidroCORTISONA 100 mg frasco ampolla,,50,100,87,01 FARMACIA CENTRAL,13,,"UTI 4, UTI-UCO-UTIM",13
UTI 4 Piso,AUX Pu 6-Subdiv 3,22933X1,RANITIDINA 10 mg/1 ml (5 ml) ampolla,,20,40,31,01 FARMACIA CENTRAL,9,,"UTI 4, UTI-UCO-UTIM",9
UTI 4 Piso,AUX Pu 6-Subdiv 4,18694x1,"ENOXAPARINA 80 mg (0,8 ml) Jeringa prellenada",,15,30,23,01 FARMACIA CENTRAL,7,,"UTI 4, UTI-UCO-UTIM",7
UTI 4 Piso,AUX Pu 6-Subdiv 5,13821x1,AMPICILINA 1000 mg frasco ampolla,,15,25,24,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,AUX Pu 6-Subdiv 6,11477X1,PIPERACILINA+TAZOBACTAM 4500 mg frasco ampolla,,50,100,74,01 FARMACIA CENTRAL,26,,"UTI 4, UTI-UCO-UTIM",26
UTI 4 Piso,AUX Pu 6-Subdiv 7,30434X1,CEFEPIME 1000 mg frasco ampolla,,15,50,33,01 FARMACIA CENTRAL,17,,"UTI 4, UTI-UCO-UTIM",17
UTI 4 Piso,AUX Pu 6-Subdiv 8,22883X1,nitroprusiato de sodio 50 mg FA 50 mg ampolla,,25,50,49,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,AUX Pu 7-Subdiv 1,FTC090R,Flotrac - Edwards (Reprocesado) unidad,,0,1,0,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,AUX Pu 7-Subdiv 2,53591x1,SULFAMETOXAZOL 400mg + TRIMETOPRIMA 80mg (5 ml) ampolla,,30,50,39,01 FARMACIA CENTRAL,11,,"UTI 4, UTI-UCO-UTIM",11
UTI 4 Piso,AUX Pu 7-Subdiv 3,55979x1,FLUCONAZOL 200 mg (100 ml) sachet,,6,12,10,01 FARMACIA CENTRAL,2,,"UTI 4, UTI-UCO-UTIM",2
UTI 4 Piso,AUX Pu 7-Subdiv 4,51262X1,PROPOFOL 2% 20 mg/1 ml (50 ml) frasco ampolla,,7,12,11,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,AUX Pu 7-Subdiv 5,48214X1,"ALIM ENTERAL HIPERPROT 37.5GPROT, 1.28KCAL/ML (PROTISON) (500 ml) sachet",PROTISON,12,24,19,,5,,"UTI 4, UTI-UCO-UTIM",5
UTI 4 Piso,AUX Pu 7-Subdiv 6,54129X1,PARACETAMOL INYECTABLE F.A INY IV 1000 mg/100 ml frasco ampolla,,13,24,18,01 FARMACIA CENTRAL,6,,"UTI 4, UTI-UCO-UTIM",6
UTI 4 Piso,AUX Pu 7-Subdiv 7,51262X1,PROPOFOL 2% 20 mg/1 ml (50 ml) frasco ampolla,,7,12,8,01 FARMACIA CENTRAL,4,,"UTI 4, UTI-UCO-UTIM",4
UTI 4 Piso,AUX Pu 8-Subdiv 1,EST-0003,RAMA LARINGO N°3 unidad,,2,8,1,ESTERILIZACION,7,,"UTI 4, UTI-UCO-UTIM",7
UTI 4 Piso,AUX Pu 8-Subdiv 3,EST-0001,CAJA DE CURACIONES unidad,,2,10,7,ESTERILIZACION,3,,"UTI 4, UTI-UCO-UTIM",3
UTI 4 Piso,AUX Pu 8-Subdiv 4,EST-0002,CAJA DE SUTURAS unidad,,2,10,3,ESTERILIZACION,7,,"UTI 4, UTI-UCO-UTIM",7
UTI 4 Piso,AUX Pu 8-Subdiv 5,EST-0005,CABLE MARCAPASO TRANSITORIO unidad,,2,10,5,ESTERILIZACION,5,,"UTI 4, UTI-UCO-UTIM",5
UTI 4 Piso,AUX Pu 8-Subdiv 6,EST-0004,RAMA LARINGO N°4 unidad,,2,8,3,ESTERILIZACION,5,,"UTI 4, UTI-UCO-UTIM",5
UTI 4 Piso,AUX Pu 8-Subdiv 8,EST-0007,CAJA CURACIONES 8° TERAPIA unidad,,2,10,4,ESTERILIZACION,6,,"UTI 4, UTI-UCO-UTIM",6
UTI 4 Piso,HELADERA UCI PYXIS-Subdiv 1,16174X1,ATRACURIUM BESILATO (50MG) 10 mg/1 ml (5 ml) ampolla,,100,250,108,01 FARMACIA CENTRAL,142,,"UTI 4, UTI-UCO-UTIM",142
UTI 4 Piso,HELADERA UCI PYXIS-Subdiv 10,18158X1,"Isoproterenol 0,2 mg/1 ml (5 ml) ampolla",,3,10,9,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,HELADERA UCI PYXIS-Subdiv 3,10055X1,LORAZEPAM IM/IV 4 mg/1 ml (1 ml) ampolla,,50,100,67,01 FARMACIA CENTRAL,33,,"UTI 4, UTI-UCO-UTIM",33
UTI 4 Piso,HELADERA UCI PYXIS-Subdiv 6,38604X1,INSULINA HUMANA NPH 100 UI/1 ml (10 ml) frasco ampolla,,1,3,1,01 FARMACIA CENTRAL,2,,"UTI 4, UTI-UCO-UTIM",2
UTI 4 Piso,main Caj 2.1-Subdiv A4,48437x1,ZOLPIDEM 10 mg comprimido,,4,10,7,01 FARMACIA CENTRAL,3,,"UTI 4, UTI-UCO-UTIM",3
UTI 4 Piso,main Caj 2.1-Subdiv A5,44871x1,ESCITALOPRAM 10 mg comprimido,,5,15,10,01 FARMACIA CENTRAL,5,,"UTI 4, UTI-UCO-UTIM",5
UTI 4 Piso,main Caj 2.1-Subdiv B1,43963x1,BACLOFENO 10 mg comprimido,,5,15,10,01 FARMACIA CENTRAL,5,,"UTI 4, UTI-UCO-UTIM",5
UTI 4 Piso,main Caj 2.1-Subdiv B2,50981x1,GABAPENTIN 300 mg comprimido,,5,10,7,01 FARMACIA CENTRAL,3,,"UTI 4, UTI-UCO-UTIM",3
UTI 4 Piso,main Caj 2.1-Subdiv B3,49489X1,CODEINA+PARACETAMOL 360 mg comprimido,,5,10,9,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,main Caj 2.1-Subdiv B4,24925x1,TRAMADOL 50 mg comprimido,,5,15,11,01 FARMACIA CENTRAL,4,,"UTI 4, UTI-UCO-UTIM",4
UTI 4 Piso,main Caj 2.1-Subdiv C1,44724X1,ALPRAZOLAM 1 mg comprimido,,7,15,10,01 FARMACIA CENTRAL,5,,"UTI 4, UTI-UCO-UTIM",5
UTI 4 Piso,main Caj 2.1-Subdiv C4,14548x1,RISPERIDONA 1 mg comprimido,,5,10,9,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,main Caj 2.1-Subdiv C6,49281x1,DESVENLAFAXINA 50 mg cápsula acción prolo,,5,10,7,01 FARMACIA CENTRAL,3,,"UTI 4, UTI-UCO-UTIM",3
UTI 4 Piso,main Caj 2.1-Subdiv D1,22430X1,QUETIAPINA 100 mg comprimido,,6,10,7,01 FARMACIA CENTRAL,3,,"UTI 4, UTI-UCO-UTIM",3
UTI 4 Piso,main Caj 2.1-Subdiv D4,44866X1,QUETIAPINA 25 mg comprimido,,8,15,12,01 FARMACIA CENTRAL,3,,"UTI 4, UTI-UCO-UTIM",3
UTI 4 Piso,main Caj 2.1-Subdiv E2,22062x1,FENITOÍNA (DIFENILHIDANTOINA) 100 mg cápsula,,5,10,9,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,main Caj 2.1-Subdiv E3,49488X1,CODEINA+PARACETAMOL 530 mg comprimido,,10,25,23,01 FARMACIA CENTRAL,2,,"UTI 4, UTI-UCO-UTIM",2
UTI 4 Piso,main Caj 2.1-Subdiv E5,17581X1,LORAZEPAM 1 MGSUB comprimido sublingua,,11,20,18,01 FARMACIA CENTRAL,2,,"UTI 4, UTI-UCO-UTIM",2
UTI 4 Piso,main Caj 2.2-Subdiv A1,18322x1,DIAZEPAM 10 mg comprimido,,5,10,7,01 FARMACIA CENTRAL,3,,"UTI 4, UTI-UCO-UTIM",3
UTI 4 Piso,main Caj 2.2-Subdiv A2,32774x1,TOPIRAMATO 25 mg comprimido,,7,15,10,01 FARMACIA CENTRAL,5,,"UTI 4, UTI-UCO-UTIM",5
UTI 4 Piso,main Caj 2.2-Subdiv A3,5409X1,AMITRIPTILINA 25 mg comprimido,,5,10,9,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,main Caj 2.2-Subdiv A4,10993X1,LEVOMEPROMAZINA INY IM 25 mg ampolla,,3,5,4,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,main Caj 2.2-Subdiv A5,47766X1,PREGABALINA 25 mg cápsula,,5,10,7,01 FARMACIA CENTRAL,3,,"UTI 4, UTI-UCO-UTIM",3
UTI 4 Piso,main Caj 2.2-Subdiv A6,34283x1,MELATONINA 3 mg comprimido,,3,10,9,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,main Caj 2.2-Subdiv B2,30329X1,"RISPERIDONA 0,25 mg comprimido",,4,10,8,01 FARMACIA CENTRAL,2,,"UTI 4, UTI-UCO-UTIM",2
UTI 4 Piso,main Caj 2.2-Subdiv B3,36187X1,DULOXETINA 30 mg comprimido,,5,10,9,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,main Caj 2.2-Subdiv B4,49859X1,LEVOMEPROMAZINA 25 mg comprimido,,3,5,4,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,main Caj 2.2-Subdiv B5,25867x1,DONEPECILO 10 mg comprimido,,5,10,7,01 FARMACIA CENTRAL,3,,"UTI 4, UTI-UCO-UTIM",3
UTI 4 Piso,main Caj 2.2-Subdiv B6,41769x1,AMITRIPTILINA 10 mg comprimido,,5,10,5,01 FARMACIA CENTRAL,5,,"UTI 4, UTI-UCO-UTIM",5
UTI 4 Piso,main Caj 2.2-Subdiv C1,32631x1,GABAPENTIN 100 mg comprimido,,5,10,9,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,main Caj 2.2-Subdiv C2,49906X1,PARACETAMOL 500 mg comprimido,,6,10,9,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,main Caj 2.2-Subdiv C3,49906X1,PARACETAMOL 500 mg comprimido,,6,10,9,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,main Caj 2.2-Subdiv C5,30125X1,FLUOXETINA 20 mg Comprimidos/Pastilla,,5,10,8,01 FARMACIA CENTRAL,2,,"UTI 4, UTI-UCO-UTIM",2
UTI 4 Piso,main Caj 2.2-Subdiv C6,50576X1,PREGABALINA 50 mg cápsula,,5,10,8,01 FARMACIA CENTRAL,2,,"UTI 4, UTI-UCO-UTIM",2
UTI 4 Piso,main Caj 2.2-Subdiv D3,49515X1,TRAMADOL 100 mg AMPOLLA x 2 mL INY. IM/IV 50 mg/1 ml (2 ml) ampolla,,4,6,3,01 FARMACIA CENTRAL,3,,"UTI 4, UTI-UCO-UTIM",3
UTI 4 Piso,main Caj 2.2-Subdiv E1,52248X1,TRAMADOL 50 mg/1 ml (1 ml) ampolla,,10,15,12,01 FARMACIA CENTRAL,3,,"UTI 4, UTI-UCO-UTIM",3
UTI 4 Piso,main Caj 3.13,45717X1,"cloNAZEPAM 0,5 mg comprimido",,3,6,4,01 FARMACIA CENTRAL,2,,"UTI 4, UTI-UCO-UTIM",2
UTI 4 Piso,main Caj 3.16,25493X1,PARACETAMOL 1000 mg comprimido,,6,12,11,01 FARMACIA CENTRAL,1,,"UTI 4, UTI-UCO-UTIM",1
UTI 4 Piso,main Caj 3.18,47720x1,cloNAZEPAM 1 mg comprimido,,7,12,9,01 FARMACIA CENTRAL,3,,"UTI 4, UTI-UCO-UTIM",3
UTI 4 Piso,main Caj 3.2,44725X1,"ALPRAZOLAM 0,5 mg comprimido",,7,12,8,01 FARMACIA CENTRAL,4,,"UTI 4, UTI-UCO-UTIM",4
